drink_name,category,volume_ml,price_rub,is_key_drink,source_url,validation_note
эспрессо,эспрессо-напитки,60,130,False,ручной ввод,ручная валидация
американо,эспрессо-напитки,250,175,True,ручной ввод,ручная валидация
капучино,молочные напитки,300,225,True,ручной ввод,ручная валидация
латте,молочные напитки,350,245,True,ручной ввод,ручная валидация
флэт уайт,молочные напитки,200,245,True,ручной ввод,ручная валидация
раф,молочные напитки,300,285,True,ручной ввод,ручная валидация
какао,какао/шоколад,300,265,True,ручной ввод,ручная валидация
матча латте,чай/матча,300,285,True,ручной ввод,ручная валидация
чай,чай/матча,400,180,True,ручной ввод,ручная валидация
кортадо,молочные напитки,150,225,False,ручной ввод,ручная валидация
меню кофейни наши кофейни контакты новости франшиза вакансии,прочее,350,290,False,https://pravdacoffee.ru/mainmenu/,структурный парсинг
матча клубника-малина       new капучино амаретто       best,молочные напитки,350,290,True,https://pravdacoffee.ru/mainmenu/,структурный парсинг
матча клубника-малина,чай/матча,350,290,True,https://pravdacoffee.ru/mainmenu/,структурный парсинг
new капучино амаретто,молочные напитки,350,290,True,https://pravdacoffee.ru/mainmenu/,структурный парсинг
best латте груша-каштан,молочные напитки,350,290,True,https://pravdacoffee.ru/mainmenu/,структурный парсинг
пунш персик-дыня,прочее,350,290,False,https://pravdacoffee.ru/mainmenu/,структурный парсинг
new пунш вишня-сакура,прочее,350,290,False,https://pravdacoffee.ru/mainmenu/,структурный парсинг
